X,CH1,
Second,Volt,
-2.96000e+00,1.60e-03,
-2.95963e+00,-1.60e-03,
-2.95927e+00,8.00e-04,
-2.95890e+00,-1.60e-03,
-2.95854e+00,2.40e-03,
-2.95817e+00,-1.60e-03,
-2.95780e+00,8.00e-04,
-2.95744e+00,-8.00e-04,
-2.95707e+00,8.00e-04,
-2.95670e+00,8.00e-04,
-2.95634e+00,-1.60e-03,
-2.95597e+00,1.60e-03,
-2.95561e+00,1.60e-03,
-2.95524e+00,8.00e-04,
-2.95487e+00,8.00e-04,
-2.95451e+00,3.20e-03,
-2.95414e+00,4.80e-03,
-2.95377e+00,3.20e-03,
-2.95341e+00,4.00e-03,
-2.95304e+00,3.20e-03,
-2.95268e+00,1.60e-03,
-2.95231e+00,8.00e-04,
-2.95194e+00,2.40e-03,
-2.95158e+00,8.00e-04,
-2.95121e+00,5.60e-03,
-2.95084e+00,2.40e-03,
-2.95048e+00,2.40e-03,
-2.95011e+00,2.40e-03,
-2.94975e+00,-8.00e-04,
-2.94938e+00,2.40e-03,
-2.94901e+00,-1.60e-03,
-2.94865e+00,-1.60e-03,
-2.94828e+00,-1.60e-03,
-2.94792e+00,8.00e-04,
-2.94755e+00,2.40e-03,
-2.94718e+00,8.00e-04,
-2.94682e+00,8.00e-04,
-2.94645e+00,-8.00e-04,
-2.94608e+00,2.40e-03,
-2.94572e+00,1.60e-03,
-2.94535e+00,3.20e-03,
-2.94499e+00,-8.00e-04,
-2.94462e+00,8.00e-04,
-2.94425e+00,-1.60e-03,
-2.94389e+00,1.60e-03,
-2.94352e+00,1.60e-03,
-2.94315e+00,2.40e-03,
-2.94279e+00,4.00e-03,
-2.94242e+00,2.40e-03,
-2.94206e+00,2.40e-03,
-2.94169e+00,8.00e-04,
-2.94132e+00,8.00e-04,
-2.94096e+00,-1.60e-03,
-2.94059e+00,-8.00e-04,
-2.94022e+00,2.40e-03,
-2.93986e+00,1.60e-03,
-2.93949e+00,8.00e-04,
-2.93913e+00,-1.60e-03,
-2.93876e+00,1.60e-03,
-2.93839e+00,1.60e-03,
-2.93803e+00,-1.60e-03,
-2.93766e+00,-1.60e-03,
-2.93729e+00,2.40e-03,
-2.93693e+00,2.40e-03,
-2.93656e+00,2.40e-03,
-2.93620e+00,3.20e-03,
-2.93583e+00,2.40e-03,
-2.93546e+00,-4.80e-03,
-2.93510e+00,1.60e-03,
-2.93473e+00,3.20e-03,
-2.93437e+00,2.40e-03,
-2.93400e+00,8.00e-04,
-2.93363e+00,-8.00e-04,
-2.93327e+00,8.00e-04,
-2.93290e+00,1.60e-03,
-2.93253e+00,1.60e-03,
-2.93217e+00,1.60e-03,
-2.93180e+00,2.40e-03,
-2.93144e+00,-8.00e-04,
-2.93107e+00,2.40e-03,
-2.93070e+00,2.40e-03,
-2.93034e+00,1.60e-03,
-2.92997e+00,8.00e-04,
-2.92960e+00,8.00e-04,
-2.92924e+00,2.40e-03,
-2.92887e+00,-8.00e-04,
-2.92851e+00,3.20e-03,
-2.92814e+00,-4.00e-03,
-2.92777e+00,8.00e-04,
-2.92741e+00,2.40e-03,
-2.92704e+00,1.60e-03,
-2.92667e+00,-1.60e-03,
-2.92631e+00,3.20e-03,
-2.92594e+00,-2.40e-03,
-2.92558e+00,1.60e-03,
-2.92521e+00,3.20e-03,
-2.92484e+00,-1.60e-03,
-2.92448e+00,8.00e-04,
-2.92411e+00,-8.00e-04,
-2.92375e+00,3.20e-03,
-2.92338e+00,-1.60e-03,
-2.92301e+00,6.40e-03,
-2.92265e+00,-4.00e-03,
-2.92228e+00,8.00e-04,
-2.92191e+00,8.00e-04,
-2.92155e+00,2.40e-03,
-2.92118e+00,2.40e-03,
-2.92082e+00,2.40e-03,
-2.92045e+00,8.00e-04,
-2.92008e+00,2.40e-03,
-2.91972e+00,-8.00e-04,
-2.91935e+00,3.20e-03,
-2.91898e+00,-1.60e-03,
-2.91862e+00,8.00e-04,
-2.91825e+00,-1.60e-03,
-2.91789e+00,2.40e-03,
-2.91752e+00,-1.60e-03,
-2.91715e+00,3.20e-03,
-2.91679e+00,8.00e-04,
-2.91642e+00,-1.60e-03,
-2.91605e+00,8.00e-04,
-2.91569e+00,-8.00e-04,
-2.91532e+00,2.40e-03,
-2.91496e+00,-1.60e-03,
-2.91459e+00,3.20e-03,
-2.91422e+00,8.00e-04,
-2.91386e+00,3.20e-03,
-2.91349e+00,-1.60e-03,
-2.91313e+00,4.00e-03,
-2.91276e+00,-1.60e-03,
-2.91239e+00,5.60e-03,
