X,CH1,
Second,Volt,
-1.63840e-03,1.28e-02,
-1.63820e-03,1.28e-02,
-1.63800e-03,1.12e-02,
-1.63780e-03,1.12e-02,
-1.63760e-03,1.20e-02,
-1.63740e-03,1.20e-02,
-1.63720e-03,1.12e-02,
-1.63700e-03,1.20e-02,
-1.63680e-03,1.36e-02,
-1.63660e-03,1.04e-02,
-1.63640e-03,1.28e-02,
-1.63620e-03,1.20e-02,
-1.63600e-03,1.20e-02,
-1.63580e-03,1.12e-02,
-1.63560e-03,1.12e-02,
-1.63540e-03,1.12e-02,
-1.63520e-03,1.12e-02,
-1.63500e-03,1.12e-02,
-1.63480e-03,1.20e-02,
-1.63460e-03,1.28e-02,
-1.63440e-03,1.12e-02,
-1.63420e-03,1.12e-02,
-1.63400e-03,1.20e-02,
-1.63380e-03,1.20e-02,
-1.63360e-03,1.04e-02,
-1.63340e-03,9.60e-03,
-1.63320e-03,1.12e-02,
-1.63300e-03,1.20e-02,
-1.63280e-03,1.28e-02,
-1.63260e-03,1.04e-02,
-1.63240e-03,1.04e-02,
-1.63220e-03,1.20e-02,
-1.63200e-03,9.60e-03,
-1.63180e-03,1.12e-02,
-1.63160e-03,9.60e-03,
-1.63140e-03,9.60e-03,
-1.63120e-03,9.60e-03,
-1.63100e-03,1.04e-02,
-1.63080e-03,1.12e-02,
-1.63060e-03,1.12e-02,
-1.63040e-03,1.20e-02,
-1.63020e-03,1.28e-02,
-1.63000e-03,1.28e-02,
-1.62980e-03,1.12e-02,
-1.62960e-03,9.60e-03,
-1.62940e-03,1.04e-02,
-1.62920e-03,1.20e-02,
-1.62900e-03,9.60e-03,
-1.62880e-03,9.60e-03,
-1.62860e-03,8.80e-03,
-1.62840e-03,9.60e-03,
-1.62820e-03,8.80e-03,
-1.62800e-03,1.12e-02,
-1.62780e-03,1.12e-02,
-1.62760e-03,1.20e-02,
-1.62740e-03,1.20e-02,
-1.62720e-03,1.04e-02,
-1.62700e-03,1.12e-02,
-1.62680e-03,9.60e-03,
-1.62660e-03,9.60e-03,
-1.62640e-03,1.20e-02,
-1.62620e-03,1.20e-02,
-1.62600e-03,1.20e-02,
-1.62580e-03,1.20e-02,
-1.62560e-03,1.20e-02,
-1.62540e-03,1.20e-02,
-1.62520e-03,1.12e-02,
-1.62500e-03,1.28e-02,
-1.62480e-03,1.28e-02,
-1.62460e-03,1.20e-02,
-1.62440e-03,1.12e-02,
-1.62420e-03,1.20e-02,
-1.62400e-03,1.12e-02,
-1.62380e-03,1.20e-02,
-1.62360e-03,1.20e-02,
-1.62340e-03,1.28e-02,
-1.62320e-03,1.20e-02,
-1.62300e-03,1.20e-02,
