X,CH1,
Second,Volt,
-3.20240e-04,3.20e-03,
-3.20200e-04,2.40e-03,
-3.20160e-04,2.40e-03,
-3.20120e-04,2.40e-03,
-3.20080e-04,2.40e-03,
-3.20040e-04,3.20e-03,
-3.20000e-04,3.20e-03,
-3.19960e-04,1.60e-03,
-3.19920e-04,2.40e-03,
-3.19880e-04,3.20e-03,
-3.19840e-04,4.00e-03,
-3.19800e-04,4.00e-03,
-3.19760e-04,4.00e-03,
-3.19720e-04,3.20e-03,
-3.19680e-04,4.00e-03,
-3.19640e-04,4.00e-03,
-3.19600e-04,2.40e-03,
-3.19560e-04,2.40e-03,
-3.19520e-04,3.20e-03,
-3.19480e-04,2.40e-03,
-3.19440e-04,2.40e-03,
-3.19400e-04,2.40e-03,
-3.19360e-04,2.40e-03,
-3.19320e-04,4.00e-03,
-3.19280e-04,4.80e-03,
-3.19240e-04,4.00e-03,
-3.19200e-04,4.00e-03,
-3.19160e-04,4.00e-03,
-3.19120e-04,4.00e-03,
-3.19080e-04,4.00e-03,
-3.19040e-04,4.00e-03,
-3.19000e-04,3.20e-03,
-3.18960e-04,4.00e-03,
-3.18920e-04,4.00e-03,
-3.18880e-04,4.00e-03,
-3.18840e-04,3.20e-03,
-3.18800e-04,4.00e-03,
-3.18760e-04,4.80e-03,
-3.18720e-04,3.20e-03,
-3.18680e-04,3.20e-03,
-3.18640e-04,3.20e-03,
-3.18600e-04,3.20e-03,
-3.18560e-04,4.00e-03,
-3.18520e-04,4.00e-03,
-3.18480e-04,4.00e-03,
-3.18440e-04,3.20e-03,
-3.18400e-04,3.20e-03,
-3.18360e-04,4.00e-03,
-3.18320e-04,4.00e-03,
-3.18280e-04,4.00e-03,
-3.18240e-04,4.00e-03,
-3.18200e-04,3.20e-03,
-3.18160e-04,4.00e-03,
-3.18120e-04,4.80e-03,
-3.18080e-04,4.00e-03,
-3.18040e-04,4.80e-03,
-3.18000e-04,3.20e-03,
-3.17960e-04,3.20e-03,
-3.17920e-04,3.20e-03,
-3.17880e-04,4.00e-03,
-3.17840e-04,4.00e-03,
-3.17800e-04,4.00e-03,
-3.17760e-04,4.00e-03,
-3.17720e-04,2.40e-03,
-3.17680e-04,3.20e-03,
-3.17640e-04,4.00e-03,
-3.17600e-04,4.00e-03,
-3.17560e-04,2.40e-03,
-3.17520e-04,1.60e-03,
-3.17480e-04,2.40e-03,
-3.17440e-04,4.00e-03,
-3.17400e-04,5.60e-03,
-3.17360e-04,4.00e-03,
-3.17320e-04,3.20e-03,
-3.17280e-04,2.40e-03,
-3.17240e-04,4.00e-03,
-3.17200e-04,4.00e-03,
-3.17160e-04,4.00e-03,
-3.17120e-04,3.20e-03,
-3.17080e-04,2.40e-03,
-3.17040e-04,2.40e-03,
-3.17000e-04,4.00e-03,
-3.16960e-04,2.40e-03,
-3.16920e-04,3.20e-03,
-3.16880e-04,2.40e-03,
-3.16840e-04,3.20e-03,
-3.16800e-04,2.40e-03,
-3.16760e-04,3.20e-03,
-3.16720e-04,3.20e-03,
-3.16680e-04,2.40e-03,
-3.16640e-04,3.20e-03,
-3.16600e-04,3.20e-03,
-3.16560e-04,3.20e-03,
-3.16520e-04,3.20e-03,
-3.16480e-04,3.20e-03,
-3.16440e-04,3.20e-03,
-3.16400e-04,3.20e-03,
-3.16360e-04,3.20e-03,
-3.16320e-04,3.20e-03,
-3.16280e-04,2.40e-03,
-3.16240e-04,3.20e-03,
-3.16200e-04,4.00e-03,
-3.16160e-04,4.00e-03,
-3.16120e-04,3.20e-03,
-3.16080e-04,3.20e-03,
-3.16040e-04,5.60e-03,
-3.16000e-04,4.00e-03,
-3.15960e-04,3.20e-03,
-3.15920e-04,8.00e-04,
-3.15880e-04,2.40e-03,
-3.15840e-04,2.40e-03,
-3.15800e-04,3.20e-03,
-3.15760e-04,4.00e-03,
-3.15720e-04,8.00e-04,
-3.15680e-04,1.60e-03,
-3.15640e-04,2.40e-03,
-3.15600e-04,1.60e-03,
-3.15560e-04,4.00e-03,
-3.15520e-04,3.20e-03,
-3.15480e-04,3.20e-03,
-3.15440e-04,3.20e-03,
-3.15400e-04,4.00e-03,
-3.15360e-04,2.40e-03,
-3.15320e-04,2.40e-03,
-3.15280e-04,2.40e-03,
-3.15240e-04,2.40e-03,
-3.15200e-04,3.20e-03,
-3.15160e-04,2.40e-03,
-3.15120e-04,2.40e-03,
-3.15080e-04,2.40e-03,
-3.15040e-04,2.40e-03,
-3.15000e-04,1.60e-03,
-3.14960e-04,2.40e-03,
-3.14920e-04,2.40e-03,
-3.14880e-04,2.40e-03,
-3.14840e-04,2.40e-03,
-3.14800e-04,2.40e-03,
-3.14760e-04,1.60e-03,
-3.14720e-04,3.20e-03,
-3.14680e-04,3.20e-03,
-3.14640e-04,2.40e-03,
-3.14600e-04,2.40e-03,
-3.14560e-04,2.40e-03,
-3.14520e-04,2.40e-03,
-3.14480e-04,3.20e-03,
-3.14440e-04,2.40e-03,
-3.14400e-04,4.00e-03,
-3.14360e-04,2.40e-03,
-3.14320e-04,2.40e-03,
-3.14280e-04,3.20e-03,
-3.14240e-04,4.00e-03,
-3.14200e-04,3.20e-03,
-3.14160e-04,4.00e-03,
-3.14120e-04,3.20e-03,
-3.14080e-04,2.40e-03,
-3.14040e-04,3.20e-03,
-3.14000e-04,3.20e-03,
-3.13960e-04,4.00e-03,
-3.13920e-04,4.00e-03,
-3.13880e-04,4.00e-03,
-3.13840e-04,4.00e-03,
-3.13800e-04,6.40e-03,
-3.13760e-04,4.80e-03,
-3.13720e-04,7.20e-03,
-3.13680e-04,5.60e-03,
-3.13640e-04,5.60e-03,
-3.13600e-04,5.60e-03,
-3.13560e-04,5.60e-03,
-3.13520e-04,5.60e-03,
-3.13480e-04,8.80e-03,
-3.13440e-04,7.20e-03,
-3.13400e-04,6.40e-03,
-3.13360e-04,6.40e-03,
-3.13320e-04,8.00e-03,
-3.13280e-04,8.80e-03,
-3.13240e-04,8.80e-03,
-3.13200e-04,8.80e-03,
-3.13160e-04,8.80e-03,
-3.13120e-04,9.60e-03,
-3.13080e-04,8.80e-03,
-3.13040e-04,8.80e-03,
-3.13000e-04,9.60e-03,
-3.12960e-04,8.80e-03,
-3.12920e-04,9.60e-03,
-3.12880e-04,9.60e-03,
-3.12840e-04,8.80e-03,
-3.12800e-04,8.80e-03,
-3.12760e-04,8.80e-03,
-3.12720e-04,9.60e-03,
-3.12680e-04,9.60e-03,
-3.12640e-04,9.60e-03,
-3.12600e-04,6.40e-03,
-3.12560e-04,6.40e-03,
-3.12520e-04,6.40e-03,
-3.12480e-04,8.80e-03,
-3.12440e-04,8.80e-03,
-3.12400e-04,6.40e-03,
-3.12360e-04,5.60e-03,
-3.12320e-04,4.00e-03,
-3.12280e-04,4.80e-03,
-3.12240e-04,4.80e-03,
-3.12200e-04,4.80e-03,
-3.12160e-04,5.60e-03,
-3.12120e-04,4.80e-03,
-3.12080e-04,2.40e-03,
-3.12040e-04,2.40e-03,
-3.12000e-04,1.60e-03,
-3.11960e-04,8.00e-04,
-3.11920e-04,-1.60e-03,
-3.11880e-04,-2.40e-03,
-3.11840e-04,-2.40e-03,
-3.11800e-04,-4.00e-03,
-3.11760e-04,-4.80e-03,
-3.11720e-04,-4.00e-03,
-3.11680e-04,-5.60e-03,
-3.11640e-04,-6.40e-03,
-3.11600e-04,-5.60e-03,
-3.11560e-04,-6.40e-03,
-3.11520e-04,-7.20e-03,
-3.11480e-04,-7.20e-03,
-3.11440e-04,-9.60e-03,
-3.11400e-04,-8.00e-03,
-3.11360e-04,-8.00e-03,
-3.11320e-04,-8.00e-03,
-3.11280e-04,-8.00e-03,
-3.11240e-04,-8.80e-03,
-3.11200e-04,-8.80e-03,
-3.11160e-04,-1.04e-02,
-3.11120e-04,-9.60e-03,
-3.11080e-04,-8.80e-03,
-3.11040e-04,-9.60e-03,
-3.11000e-04,-1.04e-02,
-3.10960e-04,-9.60e-03,
-3.10920e-04,-8.80e-03,
-3.10880e-04,-9.60e-03,
-3.10840e-04,-8.80e-03,
-3.10800e-04,-8.80e-03,
-3.10760e-04,-8.00e-03,
-3.10720e-04,-7.20e-03,
-3.10680e-04,-8.00e-03,
-3.10640e-04,-6.40e-03,
-3.10600e-04,-6.40e-03,
-3.10560e-04,-5.60e-03,
-3.10520e-04,-4.80e-03,
-3.10480e-04,-5.60e-03,
-3.10440e-04,-4.80e-03,
-3.10400e-04,-3.20e-03,
-3.10360e-04,-4.00e-03,
-3.10320e-04,-3.20e-03,
-3.10280e-04,-2.40e-03,
-3.10240e-04,-1.60e-03,
-3.10200e-04,-1.60e-03,
-3.10160e-04,-1.60e-03,
-3.10120e-04,8.00e-04,
-3.10080e-04,8.00e-04,
-3.10040e-04,1.60e-03,
-3.10000e-04,1.60e-03,
-3.09960e-04,1.60e-03,
-3.09920e-04,3.20e-03,
-3.09880e-04,1.60e-03,
-3.09840e-04,2.40e-03,
-3.09800e-04,2.40e-03,
-3.09760e-04,3.20e-03,
-3.09720e-04,3.20e-03,
-3.09680e-04,4.00e-03,
-3.09640e-04,3.20e-03,
-3.09600e-04,4.00e-03,
-3.09560e-04,4.00e-03,
-3.09520e-04,4.00e-03,
-3.09480e-04,4.00e-03,
-3.09440e-04,3.20e-03,
-3.09400e-04,3.20e-03,
-3.09360e-04,4.80e-03,
-3.09320e-04,5.60e-03,
-3.09280e-04,4.80e-03,
-3.09240e-04,4.80e-03,
-3.09200e-04,6.40e-03,
-3.09160e-04,5.60e-03,
-3.09120e-04,6.40e-03,
-3.09080e-04,4.00e-03,
-3.09040e-04,5.60e-03,
-3.09000e-04,7.20e-03,
-3.08960e-04,5.60e-03,
-3.08920e-04,4.00e-03,
-3.08880e-04,4.00e-03,
-3.08840e-04,4.00e-03,
-3.08800e-04,4.80e-03,
-3.08760e-04,4.80e-03,
-3.08720e-04,4.00e-03,
-3.08680e-04,4.00e-03,
-3.08640e-04,3.20e-03,
-3.08600e-04,4.00e-03,
-3.08560e-04,4.80e-03,
-3.08520e-04,3.20e-03,
-3.08480e-04,3.20e-03,
-3.08440e-04,3.20e-03,
-3.08400e-04,4.00e-03,
-3.08360e-04,4.00e-03,
-3.08320e-04,5.60e-03,
-3.08280e-04,3.20e-03,
-3.08240e-04,4.00e-03,
-3.08200e-04,4.00e-03,
-3.08160e-04,4.80e-03,
-3.08120e-04,4.00e-03,
-3.08080e-04,4.00e-03,
-3.08040e-04,4.00e-03,
-3.08000e-04,4.00e-03,
-3.07960e-04,4.00e-03,
-3.07920e-04,5.60e-03,
-3.07880e-04,5.60e-03,
-3.07840e-04,4.80e-03,
-3.07800e-04,4.80e-03,
-3.07760e-04,4.00e-03,
-3.07720e-04,4.00e-03,
-3.07680e-04,4.80e-03,
-3.07640e-04,4.00e-03,
-3.07600e-04,5.60e-03,
-3.07560e-04,4.80e-03,
-3.07520e-04,4.00e-03,
-3.07480e-04,4.00e-03,
-3.07440e-04,4.80e-03,
-3.07400e-04,5.60e-03,
-3.07360e-04,4.00e-03,
-3.07320e-04,4.80e-03,
-3.07280e-04,4.80e-03,
-3.07240e-04,4.00e-03,
-3.07200e-04,4.00e-03,
-3.07160e-04,4.00e-03,
-3.07120e-04,4.00e-03,
-3.07080e-04,4.80e-03,
-3.07040e-04,4.00e-03,
-3.07000e-04,2.40e-03,
-3.06960e-04,3.20e-03,
-3.06920e-04,4.00e-03,
-3.06880e-04,4.80e-03,
-3.06840e-04,4.00e-03,
-3.06800e-04,3.20e-03,
-3.06760e-04,4.00e-03,
-3.06720e-04,4.00e-03,
-3.06680e-04,3.20e-03,
-3.06640e-04,2.40e-03,
-3.06600e-04,2.40e-03,
-3.06560e-04,3.20e-03,
-3.06520e-04,2.40e-03,
-3.06480e-04,3.20e-03,
-3.06440e-04,2.40e-03,
-3.06400e-04,1.60e-03,
-3.06360e-04,3.20e-03,
-3.06320e-04,3.20e-03,
-3.06280e-04,3.20e-03,
-3.06240e-04,2.40e-03,
-3.06200e-04,2.40e-03,
-3.06160e-04,3.20e-03,
-3.06120e-04,2.40e-03,
-3.06080e-04,4.00e-03,
-3.06040e-04,2.40e-03,
-3.06000e-04,8.00e-04,
-3.05960e-04,8.00e-04,
-3.05920e-04,8.00e-04,
-3.05880e-04,2.40e-03,
-3.05840e-04,2.40e-03,
-3.05800e-04,2.40e-03,
-3.05760e-04,8.00e-04,
-3.05720e-04,-8.00e-04,
-3.05680e-04,8.00e-04,
-3.05640e-04,8.00e-04,
-3.05600e-04,8.00e-04,
-3.05560e-04,8.00e-04,
-3.05520e-04,8.00e-04,
-3.05480e-04,1.60e-03,
-3.05440e-04,8.00e-04,
-3.05400e-04,8.00e-04,
-3.05360e-04,-8.00e-04,
-3.05320e-04,-8.00e-04,
-3.05280e-04,-8.00e-04,
-3.05240e-04,8.00e-04,
-3.05200e-04,1.60e-03,
-3.05160e-04,-1.60e-03,
-3.05120e-04,8.00e-04,
